-DOCSTART- -X- -X- O
(Stat O O O
Lab) O O O
5.0 O O O
H O O O
(3.4-4.8) O O O
mmol/L O O O
Chloride O O O
(Stat O O O
Lab) O O O
110 O O O
H O O O
(100-108) O O O
mmol/L O O O
CO2 O O O
(Stat O O O
Lab) O O O
13.8 O O O
L O O O
(23.0-31.9) O O O
mmol/L O O O
BUN O O O
(Stat O O O
Lab) O O O
148 O O O
H O O O
(8-25) O O O
mg/dl O O O
Creatinine O O O
(Stat O O O
Lab) O O O
3.2 O O O
H O O O
(0.6-1.5) O O O
mg/dl O O O
Glucose O O O
(Stat O O O
Lab) O O O
109 O O O
(70-110) O O O
mg/dl O O O
LFTs, O O O
amylase, O O O
lipase, O O O
Lactic O O O
Acid O O O
all O O O
normal O O O
Arterial O O O
pH O O O
7.27 O O O
L O O O
(7.35-7.45) O O O
Arterial O O O
PCO2 O O O
23 O O O
L O O O
(35-42) O O O
mm/Hg O O O
Arterial O O O
PO2 O O O
113 O O O
H O O O
(80-100) O O O
mm/Hg O O O
Osmolality O O O
324 O O O
H O O O
(280-296) O O O
mOsm/kg O O O
Urine O O O
Sodium O O O
28 O O O
(NOTDEF) O O O
mmol/L O O O
Urine O O O
Creatinine O O O
0.39 O O O
mg/ml O O O
FENA O O O
1.73% O O O
UA-SED-RBC O O O
5-10 O O O
(0-2) O O O
/hpf O O O
UA-SED-WBC O O O
20-50 O O O
(0-2) O O O
/hpf O O O
UA-SED-Bacteria O O O
Moderate O O O
(NEG) O O O
/hpf O O O
CXR: O O O
clear O O O
lungs O O O
CT O O O
(I-O+): O O O
mild O O O
R O O O
and O O O
moderate O O O
L O O O
hydro, O O O
mild O O O
perinephric O O O
fat O O O
stranding O O O
R>L, O O O
no O O O
abnormal O O O
pelvic O O O
fluid O O O
collections, O O O
no O O O
bowel O O O
thickening O O O
or O O O
abscess, O O O
some O O O
thickened O O O
distal O O O
sigmoid O O O
colon O O O
A/P: O O O
75yr O O O
man O O O
s/p O O O
sig O O O
colostomy O O O
for O O O
diversion, O O O
s/p O O O
IR O O O
drainage O O O
of O O O
postop O O O
collection, O O O
now O O O
with O O O
FTT, O O O
acute O O O
renal O O O
failure O O O
with O O O
FENA>1% O O O
and O O O
possible O O O
UTI, O O O
non-gap O O O
metabolic O O O
acidodis O O O
--Check O O O
C-dif O O O
--UTI O O O
Rx, O O O
directed O O O
towards O O O
the O O O
gram O O O
negatives O O O
he O O O
has O O O
grown O O O
in O O O
the O O O
past O O O
--Agree O O O
with O O O
transfusion O O O
given O O O
CAD O O O
hx O O O
--Routine O O O
ostomy O O O
care, O O O
ostomy O O O
nurse O O O
consult O O O
for O O O
any O O O
ostomy O O O
related O O O
questions. O O O
The O O O
ostomy O O O
itself O O O
appears O O O
very O O O
healthy, O O O
so O O O
I O O O
doubt O O O
the O O O
thickening O O O
represents O O O
hypoperfusion O O O
to O O O
the O O O
distal O O O
bowel O O O
--Please O O O
contact O O O
BCH O O O
Surgical O O O
Service O O O
with O O O
any O O O
questions O O O
______________________________ O O O
Earl O O O
N. O O O
Morrow, O O O
M.D. O O O

Record O O O
date: O O O
2125-07-24 O O O
Routine O O O
F/U O O O
================ O O O
Vital O O O
signs O O O
================ O O O
Blood O O O
Pressure: O O O
130/80 O O O
[Left O O O
Arm, O O O
Sitting] O O O
Weight: O O O
216 O O O
[Pounds] O O O
================ O O O
Medications O O O
================ O O O
GLUCOPHAGE NNP B-NP B-DRUG
(METFORMIN) O O O
Variable O O O
PO O O O
ZESTRIL NNP B-NP B-DRUG
(LISINOPRIL) O O O
10MG O O O
1 O O O
Tablet(s) O O O
PO O O O
QD O O O
NPH NNP B-NP B-DRUG
HUMULIN NNP B-NP I-DRUG
INSULIN NNP B-NP I-DRUG
(INSULIN O O O
NPH NNP B-NP I-DRUG
HUMAN) NNP B-NP I-DRUG
Variable O O O
SC O O O
TOPROL NNP B-NP B-DRUG
XL NNP B-NP I-DRUG
(METOPROLOL O O O
(SUST. NNP B-NP I-DRUG
REL.)) NNP B-NP I-DRUG
200MG O O O
1 O O O
Tablet(s) O O O
PO O O O
QD O O O
ISOSORBIDE NNP B-NP B-DRUG
MONONIT.(SR) NNP B-NP I-DRUG
30MG O O O
1 O O O
Tablet(s) O O O
PO O O O
QD O O O
ASA NNP B-NP B-DRUG
(ACETYLSALICYLIC O O O
ACID) NNP B-NP I-DRUG
325MG O O O
1 O O O
Tablet(s) O O O
PO O O O
QD O O O
LIPITOR NNP B-NP B-DRUG
(ATORVASTATIN) O O O
10MG O O O
1 O O O
Tablet(s) O O O
PO O O O
QHS O O O
Issues: O O O
CAD...Now O O O
s/p O O O
CABG. O O O
Sx O O O
preop O O O
were O O O
DOE, O O O
now O O O
no O O O
longer O O O
dyspnic O O O
even O O O
going O O O
up O O O
2 O O O
flight O O O
stairs. O O O
doing O O O
cardiac O O O
rehab. O O O
tolerating O O O
well, O O O
early O O O
in O O O
course, O O O
doing O O O
almost O O O
2miles/45 O O O
min O O O
already. O O O
Tachcardia O O O
on O O O
ToprolXL, NNP B-NP B-DRUG
still O O O
80-90 O O O
at O O O
rest, O O O
105 O O O
with O O O
exertion O O O
by O O O
design. O O O
Advised O O O
that O O O
pulse O O O
may O O O
fall O O O
as O O O
conditioning O O O
improves. O O O
Wt O O O
decreased O O O
6# O O O
since O O O
last O O O
visit. O O O
DM O O O
Notes O O O
BGs O O O
180 O O O
post O O O
rehab O O O
at O O O
11am, O O O
160s O O O
at O O O
HS, O O O
FBG~~120 O O O
or O O O
less. O O O
On O O O
metformin NNP B-NP B-DRUG
500/500/1000, O O O
NPH NNP B-NP B-DRUG
30q11am/28qHS. O O O
Discussed O O O
rational O O O
and O O O
controll. O O O
A1C O O O
8.1, O O O
above O O O
7.0 O O O
goal. O O O
Recc O O O
checking O O O
bg O O O
at O O O
4pm O O O
as O O O
well, O O O
change O O O
am O O O
NPH NNP B-NP B-DRUG
to O O O
7-8 O O O
am O O O
to O O O
cover O O O
lunch O O O
and O O O
dinner, O O O
and O O O
would O O O
increase O O O
2U O O O
q O O O
1-2days, O O O
watching O O O
tid-qid O O O
BGs O O O
and O O O
adjusting O O O
HS O O O
dose O O O
downward O O O
if O O O
FBGs O O O
<100. O O O
Goal O O O
is O O O
no O O O
BGs O O O
<80, O O O
most O O O
<140. O O O
Reduce O O O
frequ O O O
of O O O
increases O O O
as O O O
levels O O O
approach O O O
goals. O O O
Lipids O O O
well O O O
controlled O O O
ldl=97 O O O
Claudication O O O
seems O O O
to O O O
be O O O
improving O O O
with O O O
exercise O O O
training. O O O
Advised O O O
to O O O
continue. O O O
Consideration O O O
for O O O
bypass O O O
only O O O
if O O O
limiting O O O
long-term O O O
progress. O O O
HTN O O O
well O O O
controlled. O O O
15 O O O
of O O O
25 O O O
minute O O O
visit O O O
counseling. O O O
RTC O O O
3 O O O
Months, O O O
call O O O
if O O O
? O O O
concerning O O O
DM O O O
control. O O O
Note O O O
printed O O O
for O O O
pt. O O O
______________________________ O O O
Fontenot, O O O
Leon, O O O
M.D. O O O

Record O O O
date: O O O
2077-11-21 O O O
INTERNAL O O O
MEDICINE O O O
ASSOCIATES O O O
SABINE O O O
MEDICAL O O O
CENTER O O O
Major O O O
Problems O O O
Diabetes O O O
mellitus O O O
Metformin NNP B-NP B-DRUG
1000 O O O
mg O O O
BID, O O O
glyburide NNP B-NP B-DRUG
1.25 O O O
mg O O O
QD. O O O
He O O O
is O O O
trying O O O
to O O O
be O O O
much O O O
more O O O
disciplined O O O
with O O O
his O O O
diet O O O
and O O O
as O O O
a O O O
result, O O O
according O O O
to O O O
his O O O
wife, O O O
he O O O
is O O O
experiencing O O O
fairly O O O
frequent O O O
minor O O O
hypoglycemic O O O
episodes. O O O
His O O O
last O O O
hemoglobin O O O
A1c O O O
six O O O
months O O O
ago O O O
was O O O
6.50. O O O
Recheck O O O
today. O O O
I O O O
suspect O O O
we O O O
will O O O
be O O O
able O O O
to O O O
discontinue O O O
the O O O
glyburide. NNP B-NP B-DRUG
Urine O O O
albumin/creatinine O O O
ratio O O O
within O O O
normal O O O
limits O O O
six O O O
months O O O
ago. O O O
Coronary O O O
artery O O O
disease O O O
Cardiac O O O
arrest O O O
January O O O
2072 O O O
while O O O
skiing; O O O
multivessel O O O
disease O O O
on O O O
cath; O O O
underwent O O O
three-vessel O O O
bypass O O O
(SVGs O O O
to O O O
the O O O
LAD, O O O
diagonal, O O O
OM). O O O
Most O O O
recent O O O
ETT O O O
January O O O
2076 O O O
showed O O O
equivocal O O O
mild O O O
apical O O O
reversible O O O
defect. O O O
Remains O O O
active, O O O
has O O O
had O O O
no O O O
chest O O O
discomfort O O O
of O O O
any O O O
kind O O O
or O O O
palpitations. O O O
Continue O O O
medical O O O
management. O O O
Myasthenia O O O
gravis O O O
Remains O O O
on O O O
Mestinon. NNP B-NP B-DRUG
Denies O O O
symptoms. O O O
Hyperlipidemia O O O
Remains O O O
on O O O
pravastatin. NNP B-NP B-DRUG
Total O O O
cholesterol O O O
151, O O O
HDL O O O
70, O O O
LDL O O O
72, O O O
triglycerides O O O
46 O O O
February O O O
2077. O O O
Complains O O O
of O O O
occasional O O O
leg O O O
spasms O O O
but O O O
has O O O
no O O O
fevers O O O
or O O O
GI O O O
symptoms. O O O
Check O O O
CK O O O
and O O O
transaminases. O O O
Asthma O O O
He O O O
continues O O O
to O O O
be O O O
followed O O O
by O O O
Dr. O O O
Nye; O O O
see O O O
his O O O
notes. O O O
Continues O O O
to O O O
have O O O
occasional O O O
episodes O O O
of O O O
very O O O
minor O O O
shortness O O O
of O O O
breath O O O
at O O O
rest, O O O
never O O O
with O O O
exercise. O O O
Lungs O O O
clear. O O O
Doing O O O
well. O O O
Gastroesophageal O O O
reflux O O O
disease O O O
Documented O O O
on O O O
barium O O O
swallow O O O
2069. O O O
Compliant O O O
with O O O
PPI. NNP B-NP B-DRUG
No O O O
symptoms. O O O
Anemia O O O
Longstanding O O O
issue, O O O
hematocrit O O O
in O O O
mid O O O
30s, O O O
MCV O O O
mid O O O
90s, O O O
iron O O O
studies, O O O
ferritin, O O O
B12, O O O
and O O O
folate O O O
unremarkable. O O O
Check O O O
TSH, O O O
SPEP.05/25/2077: O O O
TSH O O O
and O O O
SPEP O O O
unremarkable. O O O
Check O O O
EPO O O O
level, O O O
follow O O O
CBC. O O O
11/21/2077: O O O
EPO O O O
level O O O
inappropriately O O O
low. O O O
Therefore, O O O
suspect O O O
anemia O O O
is O O O
secondary O O O
to O O O
age-related O O O
reduction O O O
in O O O
renal O O O
mass/GFR. O O O
Hypertension O O O
On O O O
low-dose O O O
ACE NNP B-NP B-DRUG
inhibitor NNP B-NP I-DRUG
and O O O
beta NNP B-NP B-DRUG
blocker. NNP B-NP I-DRUG
Blood O O O
pressure O O O
today O O O
uncharacteristically O O O
elevated, O O O
150/70. O O O
He O O O
attributes O O O
this O O O
to O O O
rushing O O O
to O O O
get O O O
to O O O
his O O O
appointment O O O
with O O O
me. O O O
Blood O O O
pressure O O O
earlier O O O
this O O O
month O O O
was O O O
120/55 O O O
at O O O
his O O O
pulmonary O O O
visit. O O O
I O O O
suspect O O O
that O O O
he O O O
is O O O
probably O O O
well O O O
controlled O O O
overall. O O O
For O O O
now, O O O
no O O O
change O O O
in O O O
management. O O O
Allergies O O O
Penicillin NNP B-NP B-DRUG
allergy O O O
Active O O O
Medications O O O
Advair NNP B-NP B-DRUG
500/50mcg O O O
spray O O O
inh O O O
bid O O O
albuterol NNP B-NP B-DRUG
inhaler O O O
inh O O O
2 O O O
puffs O O O
qid O O O
prn O O O
aspirin NNP B-NP B-DRUG
81mg O O O
atenolol NNP B-NP B-DRUG
25mg O O O
po O O O
qd O O O
Ativan NNP B-NP B-DRUG
1mg O O O
po O O O
prn O O O
air O O O
travel O O O
Dalmane NNP B-NP B-DRUG
30 O O O
mg O O O
take O O O
1 O O O
at O O O
hs O O O
prn O O O
Fish NNP B-NP B-DRUG
oil NNP B-NP I-DRUG
1 O O O
gm O O O
DAILY O O O
free O O O
text O O O
medication O O O
#1 O O O
QHS O O O
quinine NNP B-NP B-DRUG
lisinopril NNP B-NP B-DRUG
5 O O O
mg O O O
po O O O
qd O O O
Mestinon NNP B-NP B-DRUG
60mg/180mg O O O
60mg O O O
@6am,11am,4pm: O O O
then180mg O O O
@time O O O
spansule O O O
at O O O
night O O O
daily O O O
metformin NNP B-NP B-DRUG
hydrochloride NNP B-NP I-DRUG
500 O O O
mg O O O
2 O O O
tabs O O O
po O O O
bid O O O
multivitamins NNP B-NP B-DRUG
Protonix NNP B-NP B-DRUG
40 O O O
mg O O O
po O O O
qd O O O
do O O O
not O O O
cut/crush/chew O O O
Change O O O
in O O O
therapies O O O
and O O O
Renewals O O O
atenolol NNP B-NP B-DRUG
25mg O O O
po O O O
qd O O O
Start: O O O
9/18/2074 O O O
pravastatin NNP B-NP B-DRUG
20mg O O O
po O O O
qd O O O
QTY:90 O O O
Refills:3 O O O
Start: O O O
2/27/2077 O O O
End: O O O
11/21/2077 O O O
- O O O
Inactivated O O O
Past O O O
medical O O O
history O O O
	 O O O
Asthma. O O O
Pneumonia O O O
March O O O
2076. O O O
Right O O O
bundle-branch O O O
block. O O O
Raynaud's O O O
syndrome, O O O
status O O O
post O O O
sympathectomy. O O O
Bilat O O O
cataract O O O
extraction O O O
Family O O O
history O O O
	 O O O
No O O O
known O O O
family O O O
history O O O
of O O O
prostate O O O
cancer. O O O
Father O O O
may O O O
have O O O
had O O O
malignant O O O
rectal O O O
polyp. O O O
Social O O O
history O O O
	 O O O
For O O O
decades, O O O
Architect O O O
in O O O
Dumas, O O O
now O O O
retired. O O O
Second O O O
marriage, O O O
two O O O
children O O O
from O O O
first O O O
marriage. O O O
Exercises O O O
at O O O
least O O O
three O O O
times O O O
per O O O
week, O O O
usually O O O
four. O O O
Nonsmoker. O O O
No O O O
significant O O O
alcohol. O O O
Procedures O O O
and O O O
Immunizations O O O
Influenza O O O
vaccine O O O
Elsewhere O O O
11/77 O O O
Review O O O
of O O O
systems O O O
	 O O O
Denies O O O
fatigue, O O O
malaise, O O O
muscle O O O
weakness/aching, O O O
diplopia, O O O
dysarthria, O O O
fever, O O O
chills, O O O
night O O O
sweats, O O O
lumps/bumps, O O O
polyuria O O O
or O O O
polydipsia, O O O
syncope, O O O
lightheadedness, O O O
palpitations, O O O
chest O O O
discomfort, O O O
unusual O O O
breathing O O O
problems, O O O
change O O O
in O O O
voice, O O O
difficulty O O O
swallowing, O O O
abdominal O O O
pain, O O O
vomiting, O O O
diarrhea, O O O
constipation, O O O
melena, O O O
rectal O O O
bleeding, O O O
dysuria, O O O
hematuria, O O O
claudication, O O O
ankle O O O
swelling. O O O
Physical O O O
examination O O O
Blood O O O
pressure O O O
114/72 O O O
Pulse O O O
60 O O O
Respiratory O O O
rate O O O
16 O O O
General O O O
appearance O O O
Pleasant O O O
gentleman, O O O
no O O O
acute O O O
distress O O O
Skin O O O
No O O O
rash, O O O
petechiae, O O O
or O O O
jaundice O O O
Heent O O O
Bilateral O O O
arcus O O O
senilis. O O O
PERRL. O O O
EOMI. O O O
No O O O
nystagmus. O O O
Pharynx O O O
unremarkable O O O
Neck O O O
No O O O
masses O O O
or O O O
thyroid O O O
abnormalities. O O O
Normal O O O
carotid O O O
upstrokes. O O O
No O O O
carotid O O O
bruits O O O
Nodes O O O
No O O O
cervical O O O
or O O O
supraclavicular O O O
adenopathy O O O
Chest O O O
Resonant O O O
to O O O
percussion. O O O
Good O O O
bilateral O O O
air O O O
movement. O O O
No O O O
wheezes, O O O
rales, O O O
or O O O
rhonchi O O O
Cor O O O
Regular O O O
rate O O O
and O O O
rhythm. O O O
No O O O
murmurs, O O O
rubs, O O O
or O O O
gallops O O O
Abdomen O O O
Soft O O O
and O O O
nontender. O O O
No O O O
masses O O O
or O O O
hepatosplenomegaly O O O
Rectal O O O
exam O O O
No O O O
rectal O O O
masses. O O O
Prostate O O O
firm, O O O
moderately O O O
enlarged, O O O
no O O O
suspicious O O O
areas, O O O
nontender. O O O
Extrem O O O
No O O O
edema. O O O
No O O O
cords. O O O
Good O O O
distal O O O
perfusion O O O
Musc O O O
skel O O O
No O O O
spinal O O O
or O O O
CVA O O O
tenderness O O O
Neuro O O O
Nonfocal O O O
Addendum O O O
	 O O O
	 O O O
Note O O O
transcribed O O O
by O O O
outside O O O
service O O O
	 O O O
Transcription O O O
errors O O O
may O O O
be O O O
present. O O O
Auto-signed O O O
electronically O O O
for O O O
Galvan, O O O
Floyd O O O
on O O O
Dec O O O
29, O O O
2077, O O O
may O O O
be O O O
unreviewed O O O
and/or O O O
contain O O O
errors O O O

Record O O O
date: O O O
2077-02-28 O O O
ENDOCRINE/DIABETES O O O
STAFF O O O
CONSULTATION O O O
Patient: O O O
VAUGHN, O O O
FRANK			MANAMANA O O O
MRN: O O O
6767510 O O O
Requesting O O O
MD: O O O
Dr. O O O
Quale			Service: O O O
SICU O O O
CC/ID: O O O
Asked O O O
to O O O
see O O O
this O O O
33 O O O
y/o O O O
M O O O
admitted O O O
with O O O
Fourier's O O O
gangrene, O O O
s/p O O O
multiple O O O
surgical O O O
procedures, O O O
for O O O
DM O O O
management O O O
HPI/ROS: O O O
Pt O O O
is O O O
a O O O
33 O O O
y/o O O O
with O O O
DM-2 O O O
who O O O
was O O O
in O O O
his O O O
USH O O O
until O O O
about O O O
2 O O O
weeks O O O
PTA, O O O
when O O O
he O O O
developed O O O
buttock O O O
pain. O O O
He O O O
had O O O
some O O O
purulent O O O
D/C O O O
from O O O
rectum O O O
and O O O
worsening O O O
of O O O
glucose O O O
control. O O O
He O O O
was O O O
seen O O O
in O O O
EDUCARE-PULLMAN O O O
Urgent O O O
Care O O O
on O O O
1/21/77 O O O
at O O O
which O O O
time O O O
a O O O
small O O O
erythematous O O O
and O O O
tender O O O
cyst O O O
was O O O
noted O O O
between O O O
his O O O
buttocks. O O O
He O O O
was O O O
prescribed O O O
sitz O O O
baths O O O
and O O O
Keflex NNP B-NP B-DRUG
for O O O
pilonidol O O O
cyst O O O
vs. O O O
ruptured O O O
boil. O O O
He O O O
was O O O
seen O O O
again O O O
in O O O
EDUCARE-PULLMAN O O O
on O O O
1/29/77 O O O
at O O O
which O O O
time O O O
he O O O
reported O O O
resolution O O O
of O O O
his O O O
buttock O O O
pain. O O O
He O O O
denied O O O
fevers O O O
or O O O
neurologic O O O
symptoms. O O O
Exam O O O
was O O O
notable O O O
for O O O
only O O O
a O O O
tiny O O O
pustule O O O
in O O O
the O O O
upper O O O
gluteal O O O
cleft, O O O
minimally O O O
erythematous, O O O
non-tender, O O O
without O O O
drainage. O O O
On O O O
the O O O
morning O O O
of O O O
2/01/77 O O O
he O O O
developed O O O
worsening O O O
of O O O
his O O O
shortness O O O
of O O O
breath, O O O
followed O O O
by O O O
the O O O
development O O O
of O O O
left O O O
jaw O O O
pain, O O O
and O O O
cold O O O
sweats, O O O
so O O O
he O O O
presented O O O
to O O O
the O O O
MANAMANA O O O
ED. O O O
On O O O
presentation, O O O
he O O O
also O O O
admitted O O O
to O O O
three O O O
days O O O
of O O O
scrotal O O O
and O O O
perineal O O O
pain O O O
and O O O
swelling. O O O
In O O O
the O O O
ED O O O
he O O O
was O O O
tachycardic O O O
to O O O
113, O O O
normotensive, O O O
initially O O O
low-grade O O O
fever, O O O
but O O O
later O O O
spiked O O O
to O O O
102.9. O O O
On O O O
examination, O O O
there O O O
was O O O
severe O O O
bilateral O O O
testicular O O O
swelling O O O
and O O O
pain, O O O
with O O O
a O O O
fluctuant O O O
mass O O O
between O O O
the O O O
rectum O O O
and O O O
scrotum. O O O
His O O O
WBC O O O
was O O O
18,000 O O O
with O O O
91% O O O
PMNs. O O O
An O O O
abdominal O O O
CT O O O
revealed O O O
extensive O O O
subcutaneous O O O
edema O O O
in O O O
the O O O
perineum, O O O
with O O O
multiple O O O
foci O O O
of O O O
air O O O
consistent O O O
with O O O
a O O O
necrotizing O O O
infection; O O O
and O O O
extensive O O O
fluid O O O
in O O O
the O O O
scrotum, O O O
consistent O O O
with O O O
Fournier's O O O
gangrene. O O O
The O O O
patient O O O
was O O O
treated O O O
with O O O
IV O O O
Abx NNP B-NP B-DRUG
and O O O
was O O O
taken O O O
urgently O O O
to O O O
the O O O
OR, O O O
where O O O
he O O O
underwent O O O
extensive O O O
debridement O O O
at O O O
which O O O
time O O O
substantial O O O
necrosis O O O
and O O O
pus O O O
were O O O
discovered. O O O
He O O O
was O O O
admitted O O O
to O O O
the O O O
SICU O O O
and O O O
has O O O
since O O O
undergone O O O
multiple O O O
debridements, O O O
last O O O
on O O O
2/20/77. O O O
In O O O
terms O O O
of O O O
his O O O
DM, O O O
he O O O
has O O O
type O O O
2 O O O
diagnosed O O O
in O O O
October O O O
2075. O O O
At O O O
the O O O
time O O O
he O O O
was O O O
feeling O O O
"lousy," O O O
tired, O O O
nauseated, O O O
and O O O
increased O O O
urinary O O O
frequency: O O O
went O O O
to O O O
Payson O O O
Hospital O O O
and O O O
FS O O O
was O O O
376. O O O
Pt O O O
was O O O
admitted O O O
overnight O O O
and O O O
given O O O
insulin; NNP B-NP B-DRUG
started O O O
on O O O
Metformin NNP B-NP B-DRUG
500 O O O
bid, O O O
eventually O O O
insulin NNP B-NP B-DRUG
was O O O
added. O O O
He O O O
was O O O
being O O O
followed O O O
by O O O
Dr. O O O
Talley O O O
at O O O
the O O O
Promptcare O O O
but O O O
stopped O O O
going O O O
there. O O O
Most O O O
recently O O O
treated O O O
with O O O
Lantus NNP B-NP B-DRUG
50 O O O
units O O O
at O O O
bedtime O O O
plus O O O
maximal O O O
doses O O O
of O O O
Glipizide NNP B-NP B-DRUG
10 O O O
bid O O O
and O O O
Metformin NNP B-NP B-DRUG
1000 O O O
bid, O O O
with O O O
uncontrolled O O O
HbA1c O O O
(see O O O
below). O O O
He O O O
has O O O
microalbuminuria. O O O
He O O O
is O O O
unable O O O
to O O O
give O O O
me O O O
a O O O
full O O O
history. O O O
In O O O
the O O O
SICU O O O
he O O O
has O O O
been O O O
treated O O O
with O O O
an O O O
insulin NNP B-NP B-DRUG
drip, O O O
which O O O
oscillates O O O
between O O O
4-11 O O O
U/hr. O O O
He O O O
is O O O
being O O O
fed O O O
with O O O
Glucerna O O O
continuous O O O
TF O O O
at O O O
120 O O O
cc/hr, O O O
and O O O
has O O O
been O O O
started O O O
on O O O
NPH NNP B-NP B-DRUG
50 O O O
U O O O
q12h. O O O
PMH: O O O
